"Name","Commit","Runtime","Notes","State","Sweep","Updated","Tags","batch_size","dropout","early_stopping","epochs","hidden_size","learning_rate","overlap","weight_decay","window_size","baseline_r2","best_val_loss","epoch","mae","mse","r2","rmse","train_loss","val_loss"
"different-sweep-3","9a658d23da11e5897f202909f69a6b2eb6320611","20","-","failed","","2025-03-25T21:08:03.000Z","","64","0.6186557122903564","10","200","128","0.0005","0.851467493082483","0.000056936760111476946","50","","","0","","","","","0.09661799710090846","0.09138178825378418"
"fancy-sweep-2","9a658d23da11e5897f202909f69a6b2eb6320611","19","-","failed","","2025-03-25T21:08:03.000Z","","128","0.6256346721229458","10","200","128","0.001","0.8280279963138565","0.0000028132821100562298","50","","","0","","","","","0.09736027079634368","0.09270745302949632"
"gallant-sweep-1","9a658d23da11e5897f202909f69a6b2eb6320611","23","-","failed","","2025-03-25T21:08:03.000Z","","64","0.5517589318982998","20","200","256","0.005","0.8233892650144513","0.000018873649722679975","40","","","0","","","","","0.09553063354671816","0.10007086163386704"
"frosty-sweep-7","7bf0db2825295dd53969094840e6b785c3d1f48d","14","-","crashed","jmhinlfz","2025-03-25T19:33:26.000Z","","64","0.6248870152733805","20","200","256","0.005","0.8488991967369092","0.000004237126133252772","50","","","","","","","","",""
"valiant-sweep-6","7bf0db2825295dd53969094840e6b785c3d1f48d","628","-","finished","jmhinlfz","2025-03-25T19:33:06.000Z","","128","0.6260422619019126","20","200","256","0.005","0.804573932517115","0.000012063148307418009","50","0","0.00565888414469858","123","0.07861540466547012","0.01385120302438736","0.8594308925396931","0.11769113689661026","0.009102883416094953","0.012489241392662128"
"vivid-sweep-5","7bf0db2825295dd53969094840e6b785c3d1f48d","206","-","finished","jmhinlfz","2025-03-25T19:22:33.000Z","","128","0.6993208991078206","20","150","128","0.0005","0.8103974738186596","0.000024222589673688153","30","0","0.005272803595289588","86","0.05151835456490517","0.00622172886505723","0.9367753686317368","0.07887793332338333","0.0034784037921139423","0.005274142964150418"
"efficient-sweep-4","7bf0db2825295dd53969094840e6b785c3d1f48d","681","-","finished","jmhinlfz","2025-03-25T19:19:03.000Z","","64","0.6000800219047598","20","150","256","0.001","0.8565532545510742","0.0000023848812233317917","50","0","0.001819524533857475","114","0.02342834882438183","0.0031434744596481323","0.9689307516925432","0.05606669560074806","0.0011243885938812229","0.0032186380412895232"
"stilted-sweep-3","7bf0db2825295dd53969094840e6b785c3d1f48d","302","-","finished","jmhinlfz","2025-03-25T19:07:34.000Z","","128","0.6710003694343052","10","200","256","0.001","0.8569467445850866","0.000048078974905388226","30","0","0.005568281248477953","52","0.049687884747982025","0.00497626094147563","0.9502005710733804","0.07054261863231659","0.00470201282333287","0.005602071194776467"
"misunderstood-sweep-2","7bf0db2825295dd53969094840e6b785c3d1f48d","53","-","finished","jmhinlfz","2025-03-25T19:02:28.000Z","","128","0.6387557262108761","10","200","128","0.005","0.8236288298323551","0.00009370546208539314","50","0","0.06982084150825228","18","0.20900698006153107","0.07039816677570343","0.26077086180898346","0.26532652974128723","0.06910734542179853","0.07926167121955327"
"comfy-sweep-1","7bf0db2825295dd53969094840e6b785c3d1f48d","370","-","finished","jmhinlfz","2025-03-25T19:01:29.000Z","","64","0.6759391384251558","20","200","128","0.005","0.8778133184851945","0.000019668781571957028","40","0","0.003697410872620013","109","0.04314183071255684","0.0050252703949809074","0.9502423285153956","0.07088914513587952","0.004020167021302595","0.003813734252212776"
