timestamp,fatigue_label,left_knee,right_knee,left_hip,right_hip,left_ankle,right_ankle,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,neck,left_spine,right_spine,left_hip_torso,right_hip_torso,left_shoulder_torso,right_shoulder_torso
32:31.8,0,175.8608434,171.6254674,160.3699004,175.5204181,61.99844497,93.23757943,64.75576624,16.06089781,28.77475087,48.14140988,158.8580085,160.1404384,102.3775098,109.3145826,96.87491504,50.91692807,47.26123269,136.0940976,98.53306885
32:31.9,0,175.2509015,171.0781888,161.0781503,175.3478624,63.27612623,95.38113186,64.66896106,16.10226492,28.83836756,48.41872268,159.2314054,160.4780761,101.9114338,109.2009092,96.89952364,50.86397261,47.23752006,136.0902958,98.58049738
32:31.9,0,173.8841435,170.602718,161.8677279,175.1895498,62.46898171,96.28014802,64.7482355,16.19403286,29.11904827,48.72873319,162.914427,161.415602,101.9759654,109.1644603,96.9259823,50.84916,47.23102861,136.1671803,98.68464551
32:31.9,0,172.5611813,170.3869665,162.2259029,175.0047393,62.9852332,96.73651776,64.95141661,16.44308411,29.16122336,49.06613799,161.247376,161.5296209,102.7334928,109.2188725,96.96241273,50.89602,47.27537506,136.3164047,98.89681079
32:31.9,0,171.9699967,170.5892607,162.3545475,174.7530416,62.95420007,96.82357299,65.13920485,16.67450809,29.12414925,49.26139599,159.3821916,161.4980365,103.8142845,109.2432898,96.98279064,50.90354503,47.28761936,136.4860715,99.10156108
32:32.0,0,171.9202379,171.0375084,162.2851389,174.4400347,63.04542047,94.91348046,65.32946823,16.79795467,29.31676641,49.38786551,158.2452456,161.3892082,104.7753259,109.225114,97.02051757,50.84747862,47.26760331,136.7216018,99.1601895
32:32.0,0,171.4253277,171.1394185,162.1163768,174.0737324,63.29609994,94.05851714,65.54874516,16.58397797,29.47122957,49.05050198,158.1512995,161.1145574,105.085986,109.2064937,97.2470879,50.92100739,47.42567468,136.973709,98.70543254
32:32.0,0,169.3865572,171.1072147,161.8638416,173.9126333,61.82675196,93.70901984,65.87589556,16.47398915,29.6136317,48.87260882,158.2566738,161.1502116,104.927556,109.1659782,97.30724859,50.8080788,47.39999822,137.4716622,98.40499566
32:32.0,0,169.4248889,171.1994886,161.8820641,173.8143231,62.90740319,93.21497102,66.10108328,16.5086979,29.75726735,48.85205955,158.3855949,161.3765059,104.8830193,109.1360688,97.31637853,50.74796922,47.38438985,137.8176064,98.33972746
32:32.1,0,169.25402,171.4053712,161.9450145,173.7173678,63.20017309,94.41455076,66.19066459,16.60155963,29.85128222,49.01034946,157.9947142,161.379294,105.2704825,109.0912549,97.28988092,50.65162152,47.31561024,138.0016971,98.40939128
32:32.1,0,169.3247629,171.4822723,161.9758681,173.6415954,63.75229915,95.98460047,66.41478687,16.68689082,30.03716197,49.12887585,157.4056761,161.2772047,105.0270796,109.0804683,97.27995575,50.63384656,47.32247745,138.321417,98.41983669
